Name,Year,Rating
Rebecca,1940,3.5
Gravity,2013,3.5
Superbad,2007,4.0
Seven Samurai,1954,2.5
The Graduate,1967,3.0
Andrei Rublev,1966,2.5
Ivan's Childhood,1962,2.5
Mirror,1975,2.5
Bullet Train,2022,4.0
Cinema Paradiso,1988,3.5
La Dolce Vita,1960,2.0
I'm Still Here,2024,4.0
Mulholland Drive,2001,3.5
A Minecraft Movie,2025,3.0
Sinners,2025,2.5
Warfare,2025,3.0
An Affair to Remember,1957,2.0
Moonlight,2016,4.5
Mission: Impossible – The Final Reckoning,2025,2.0
Mission: Impossible – Dead Reckoning,2023,2.5
Sing Street,2016,3.5
The Fantastic 4: First Steps,2025,2.5
Superman,2025,3.5
Materialists,2025,4.0
Frances Ha,2012,2.0
Dazed and Confused,1993,2.5
Marriage Story,2019,5.0
The Squid and the Whale,2005,3.0
The Meyerowitz Stories (New and Selected),2017,2.5
Y Tu Mamá También,2001,3.5
The Half of It,2020,2.5
"Paris, Texas",1984,2.5
Mamma Mia!,2008,3.0
The Naked Gun,2025,3.0
The Darjeeling Limited,2007,3.5
One Battle After Another,2025,3.0
Beautiful Boy,2018,3.5
The Smashing Machine,2025,3.0
Scent of a Woman,1992,2.5
Perfect Blue,1997,4.0
Cake,2018,4.0
Yi Yi,2000,4.5
My Dinner with Andre,1981,3.0
Marty Supreme,2025,4.0
