Console,GameName,Review,Score
XBOX,The Lord of the Rings: The Fellowship of the Ring Review,Mediocre,5
PS2,Tony Hawk's Pro Skater 4 Review,Superb,9
PS2,Reign of Fire Review,Poor,4
XBOX,Reign of Fire Review,Poor,4
PC,America's Army: Operations Review,Great,8
XBOX,The House of the Dead III Review,Fair,6
PS2,Wild Arms 3 Review,Good,7
XBOX,WTA Tour Tennis Review,Fair,6
PC,Hoyle Board Games Review,Good,7
PC,Hoyle Card Games review,Fair,6
XBOX,ToeJam & Earl III: Mission to Earth Review,Mediocre,5
XBOX,Ty the Tasmanian Tiger Review,Good,7
PS2,Ty the Tasmanian Tiger Review,Good,7
PC,Taz Wanted Review,Mediocre,5
PS2,"The Lord of the Rings, The Two Towers Review",Great,8
PC,Need for Speed: Hot Pursuit 2 Review,Good,7
PS2,Sub Rebellion Review,Fair,6
XBOX,Whacked! Review,Mediocre,5
XBOX,Chase: Hollywood Stunt Driver Review,Fair,6
PS2,Legaia 2: Duel Saga Review,Good,7
PS2,Grandia Xtreme Review,Fair,6
XBOX,Loons: The Fight for Fame Review,Poor,4
PS2,Evolution Skateboarding Review,Poor,4
PS2,NHL 2003 Review,Great,8
PS2,Red Faction II Review,Great,8
PC,RollerCoaster Tycoon 2 Review,Good,7
PC,Crazy Taxi Review,Mediocre,5
PS2,Egg Mania: Eggstreme Madness Review,Fair,6
PC,Law & Order: Dead on the Money Review,Fair,6
XBOX,NBA Live 2003 Review,Great,8
XBOX,Gravity Games Bike: Street Vert Dirt Review,Abysmal,1
XBOX,Namco Museum Review,Fair,6
PC,Season Ticket Basketball 2003 Review,Great,8
PC,Batman: Vengeance Review,Poor,4
PC,Industry Giant II Review,Mediocre,5
PC,NHL 2003 Review,Great,8
PS2,Rayman Arena Review,Mediocre,5
XBOX,Rayman Arena Review,Fair,6
PS2,NBA Live 2003 Review,Great,8
XBOX,NBA 2K3 Review,Great,8
PC,Rayman Arena Review,Mediocre,5
PS2,NASCAR Thunder 2003 Review,Good,7
XBOX,NASCAR Thunder 2003 Review,Great,8
PS2,RLH Review,Poor,4
PS2,NBA 2K3 Review,Great,8
PS2,Super Bust-A-Move 2 Review,Poor,4
XBOX,Hitman 2: Silent Assassin Review,Great,8
PS2,TimeSplitters 2 Review,Great,8
XBOX,TimeSplitters 2 Review,Great,8
PS2,Hitman 2: Silent Assassin Review,Great,8
PC,Hitman 2: Silent Assassin Review,Great,8
PC,Heroes of Might and Magic IV: The Gathering Storm Review,Good,7
XBOX,Myst III: Exile Review,Fair,6
PS2,Myst III: Exile Review,Fair,6
XBOX,Conflict: Desert Storm Review,Poor,4
XBOX,Need for Speed: Hot Pursuit 2 Review,Good,7
PS2,Need for Speed: Hot Pursuit 2 Review,Great,8
PS2,Conflict: Desert Storm Review,Poor,4
PC,Sniper: Path of Vengeance Review,Terrible,2
PC,Prisoner of War Review,Good,7
PC,Casino Empire Review,Mediocre,5
PS2,Riding Spirits Review,Mediocre,5
PC,Unreal Tournament 2003 Review,Great,8
XBOX,Blinx: The Time Sweeper Review,Fair,6
PS2,Dual Hearts Review,Good,7
PS,Digimon World 3 Review,Poor,4
PS2,Superman: Shadow of Apokolips Review,Fair,6
PC,Virtual Resort: Spring Break Review,Fair,6
PC,Stronghold: Crusader Review,Great,8
PC,Incoming Forces Review,Fair,6
PS2,Ferrari F355 Challenge Review,Good,7
PC,Tom Clancy's Ghost Recon: Island Thunder Review,Great,8
PS2,Tribes Aerial Assault Review,Good,7
PS2,Burnout 2: Point of Impact Review,Great,8
PC,The Sims: Unleashed Review,Great,8
PC,Divine Divinity Review,Great,8
PC,No One Lives Forever 2: A Spy In H.A.R.M.'s Way Review,Superb,9
PC,Links 2003 Review,Great,8
PS2,Sega Bass Fishing Duel Review,Good,7
PS2,NHL Hitz 2003 Review,Good,7
XBOX,NHL Hitz 2003 Review,Good,7
PS2,Dino Stalker Review,Poor,4
PS2,Robotech: Battlecry Review,Fair,6
XBOX,Robotech: Battlecry Review,Fair,6
XBOX,Kelly Slater's Pro Surfer Review,Great,8
PS2,Kelly Slater's Pro Surfer Review,Great,8
PC,Demolition Derby and Figure 8 Race Review,Poor,4
XBOX,Blade II Review,Poor,4
PS2,Blade II Review,Poor,4
PS2,Gungrave Review,Mediocre,5
PC,Arthur's Quest: Battle for the Kingdom Review,Abysmal,1
PC,Battlefield 1942 Review,Great,8
PS2,Sega Soccer Slam Review,Great,8
PC,Earth 2150: Lost Souls Review,Good,7
PC,Chessmaster 9000 Review,Good,7
PC,Geoff Crammond's Grand Prix 4 Review,Great,8
PS2,Armored Core 3 Review,Good,7
XBOX,The Thing Review,Great,8
PC,Hard Truck: 18 Wheels of Steel Review,Good,7
XBOX,Quantum Redshift Review,Good,7
PC,The Partners Review,Mediocre,5
PC,Emperor: Rise of the Middle Kingdom Review,Good,7
PC,Farscape: The Game Review,Bad,3
PS2,Mobile Suit Gundam: Federation vs. Zeon Review,Good,7
PS2,Kingdom Hearts Review,Great,8
